급여종류명,장기요양기관명,주소,위도,경도
노인요양시설,세림어르신의집, 부산광역시 해운대구 운봉길186번길  18 (반송동),35.23622386,129.1434667
노인요양시설,은화노인요양원," 부산광역시 해운대구 반송로  832 (반송동, 지하2층, 지상5층)",35.22775285,129.1470716
노인요양시설,안심노인요양시설, 부산광역시 해운대구 아랫반송로89번길  8 (반송동),35.22050087,129.1532743
노인요양시설,영화소규모요양시설, 부산광역시 해운대구 재송2로90번길  25 (재송동),35.19170292,129.1341014
노인요양시설,해운대실버홈," 부산광역시 해운대구 송정1로7번길  30-5 (송정동, 해운대실버홈)",35.18108323,129.1978395
노인요양시설,다인실버홈, 부산광역시 해운대구 재반로84번길  88 (재송동),35.18800408,129.1296251
노인요양공동생활가정,사랑방요양원, 부산광역시 해운대구 송정중앙로  25 4층 (송정동),35.18282059,129.2035192
노인요양공동생활가정,송정요양원, 부산광역시 해운대구 송정광어골로  45 4층502호 (송정동),35.17721505,129.1970581
노인요양공동생활가정,정다운 요양원, 부산광역시 해운대구 좌동로10번길  67 4층 (중동),35.16773938,129.1724293
노인요양시설,신세계해운대요양원, 부산광역시 해운대구 양운로  98 13층 (좌동),35.171684,129.174842
노인교실,해성노인대학, 해운대구 중동2로 20-3,,
노인교실,인천노인대학,해운대구 재반로12번길 16(재송동),,
노인교실,푸른솔노인교실,"해운대구 대천로 98(중동, 해운대순복음교회)",,
노인교실,파랑새어르신대학,해운대구 신반송로21(반송동),,
노인교실,장산성당 은파노인교실,해운대구 반여로155가길 20(반여동),,
노인교실,온누리시니어아카데미,"해운대구 대천로 9(좌동, 온누리교회)",,
노인교실,영진종합사회복지관 장수대학,해운대구 반여로 165(반여동),,
노인교실,반여복지관 노인대학,해운대구 재반로226번길 13-73,,
노인교실,반송종합사회복지관 노인교실(반딧불이),해운대구 아랫반송로 1번길 15,,
노인교실,반송노인대학,해운대구 아랫반송로26번길 46 (반송동),,
노인교실,반석종합사회복지관 반석노인교실,해운대구 신반송로159,,
노인교실,우동성당부설 청담대학,해운대구 해운대로 483번길 23,,
노인교실,해운대행복대학,우동1로 36(우동),,
노인교실,면류관노인대학,재반로112번길 10(재송동),,
노인교실,평생교육해운대 노인교실,재반로241번길 17(반여동),,
노인교실,반여노인대학,선수촌로 89(반여동),,
노인교실,한사랑노인대학,좌동순환로 414(중동),,
노인교실,송우노인교실,반송로924번길 8(반송동),,
노인교실,운화노인대학,좌동순환로299번길 27(좌동),,
노인복지시설,장산노인복지관,부산 해운대구 좌동로 126,,
노인복지시설,부산해운대시니어클럽,부산 해운대구 반송순환로 158,,
노인복지시설,어진샘 노인종합복지관,부산 해운대구 재반로12번길 16,,
노인복지시설,해운대실버홈,부산 해운대구 송정1로7번길 30-5,,
노인복지시설,참조은재가복지센터,부산 해운대구 반송로 797,,
노인복지시설,정담시니어요양원,부산 해운대구 해운대로469번나길 69 ,,
노인복지시설,명품재활주간보호센터,부산 해운대구 반여로155번길 17-12,,
노인복지시설,하하센터 해운대구 재송,부산 해운대구 재반로12번길 14,,
노인복지시설,센텀효어르신데이케어센터,부산 해운대구 해운대로295번길 15,,
노인복지시설,다온실버복지센터,부산 해운대구 신반송로 203-6,,
노인복지시설,노인복지관 반여분관,부산 해운대구 선수촌로207번길 79,,
노인복지시설,감동노인주간보호센터,부산 해운대구 재반로103번가길 25,,
노인복지시설,부산시 해운대구치매안심센터 ,부산 해운대구 양운로37번길 59,,
노인복지시설,성모실버케어,부산 해운대구 세실로27번길 23 10층,,
노인복지시설,길데이케어센터,부산 해운대구 양운로 92 나하나빌딩 3층,,
노인복지시설,은성재가복지센터,부산 해운대구 선수촌로21번길 21 그린종합상가,,
노인복지시설,청솔재가노인복지센터,부산 해운대구 좌동로63번길 46 롯데캐슬마스터2,,
노인복지시설,동부산재가노인복지센터,부산 해운대구 윗반송로51번길 183,,
노인복지시설,힐링재가복지센터,부산 해운대구 반여로 131,,
노인복지시설,다정재가복지센터,부산 해운대구 재반로64번길 90 센텀드림힐아파트 상가,,
노인복지시설,인천 노인종합사회복지관,부산 해운대구 재반로12번길 16,,
노인복지시설,가족사랑노인복지센터,부산 해운대구 아랫반송로 51,,
노인복지시설,나눔실버데이케어 ,부산 해운대구 해운대로123번길 21 2층,,
