읍면동,전체 노인수,총계(독거노인현황(65세이상 1인가구),소계(남),총계 65세_79세(남),총계 80세이상(남),소계(여),총계 65세_79세(여),총계 80세이상(여),국민기초생활보장 수급자(65세이상 1인가구 중) 합계,국민기초생활보장 수급자 65세_79세(남),국민기초생활보장 수급자 80세이상(남),국민기초생활보장 수급자 65세_79세(여),국민기초생활보장 수급자 80세이상(여),저소득(65세이상 1인가구 중) 합계,저소득 65세_79세(남),저소득 80세이상(남),저소득 65세_79세(여),저소득 80세이상(여),일반(65세이상 1인가구 중) 합계,일반 65세_79세(남),일반 80세이상(남),일반 65세_79세(여),일반 80세이상(여), 독거노인비율 
 대연1동 ,3748,1237,368,296,72,869,573,296,180,47,12,70,51,94,17,6,39,32,963,232,54,464,213,33.00426894
 대연3동 ,4605,1203,332,257,75,871,619,252,155,37,10,69,39,65,21,7,19,18,983,199,58,531,195,26.1237785
 대연4동 ,3315,1283,387,308,79,896,604,292,240,57,16,102,65,68,16,6,27,19,975,235,57,475,208,38.70286576
 대연5동 ,3737,948,266,208,58,682,455,227,158,45,8,58,47,99,15,7,34,43,691,148,43,363,137,25.3679422
 대연6동 ,2339,510,143,110,33,367,259,108,109,23,6,48,32,20,4,1,4,11,381,83,26,207,65,21.80418982
 용호1동 ,9104,2023,524,415,109,1499,986,513,402,103,21,150,128,202,32,12,78,80,1419,280,76,758,305,22.22100176
 용호2동 ,4333,1171,306,249,57,865,549,316,178,45,7,56,70,107,8,10,37,52,886,196,40,456,194,27.02515578
 용호3동 ,3684,1106,318,261,57,788,528,260,321,79,18,130,94,140,26,8,59,47,645,156,31,339,119,30.02171553
 용호4동 ,2217,645,172,139,33,473,350,123,197,54,14,86,43,140,24,17,59,40,308,61,2,205,40,29.09336942
 용당동 ,1907,488,169,144,25,319,221,98,146,49,13,49,35,79,29,9,27,14,263,66,3,145,49,25.58993183
 감만1동 ,2371,804,280,223,57,524,368,156,92,31,9,41,11,165,42,14,61,48,547,150,34,266,97,33.90974272
 감만2동 ,2415,779,218,178,40,561,373,188,190,52,14,60,64,94,13,4,31,46,495,113,22,282,78,32.25672878
 우암동 ,4034,1099,305,250,55,794,519,275,353,88,19,134,112,134,21,7,65,41,612,141,29,320,122,27.24343084
 문현1동 ,1829,720,198,167,31,522,364,158,120,37,5,48,30,61,9,0,27,25,539,121,26,289,103,39.36577365
 문현2동 ,2126,946,355,302,53,591,382,209,480,153,46,148,133,54,12,6,19,17,412,137,1,215,59,44.49670743
 문현3동 ,3561,858,221,186,35,637,436,201,208,59,15,80,54,141,29,12,49,51,509,98,8,307,96,24.09435552
 문현4동 ,2485,922,302,239,63,620,432,188,210,71,26,61,52,258,65,28,90,75,454,103,9,281,61,37.10261569
