,스터디카페,일자리센터,공유오피스,요양기관관,의료시설,부동산,교육지원,운동시설,세탁시설,가정용품 수리시설,실업률,,
해운대,1.030326594,0.155520995,0.155520995,0.003693624,5.968118196,24.90279938,3.110419907,6.201399689,3.615863142,6.415241058,4.5,,51.44
강서구,0.12,0.011428571,0,0.002415459,1.1352657,16.61835749,0.652173913,4.396135266,1.280193237,1.15942029,4.2,,41.4
금정구,0.676276918,0.017796761,0.088983805,0.002147569,1.656695812,8.63629391,0.828347906,3.052615432,2.009510661,1.165822979,3.8,,65.19
기장군,0.0826067,0.009178522,0.018357045,0.000458926,0.321248279,2.303809087,0.146856356,0.647085819,0.417622763,0.279944929,3.8,,217.9
동구,0.716479017,0.102354145,0.307062436,0.167860798,4.503582395,21.39201638,3.07062436,7.062436029,3.582395087,8.802456499,3.6,,9.77
동래구,3.245192308,0.060096154,0.180288462,0.032451923,12.19951923,47.77644231,2.463942308,14.42307692,7.572115385,5.168269231,3.5,,16.64
북구,1.279373368,0,0.104438642,0.03002611,3.237597911,11.35770235,1.148825065,4.255874674,2.428198433,1.932114883,4.1,,38.3
남구,1.543805481,0.038595137,0.308761096,0.020068807,7.740825688,35.26376147,5.103211009,9.919724771,6.020642202,4.587155963,4.6,,17.44
부산진구,2.491582492,0.067340067,0.168350168,0.009090909,14.74747475,35.65656566,3.265993266,10.70707071,6.094276094,5.622895623,5.2,,29.7
사상구,0.5859375,0.027901786,0.055803571,0.006975446,2.455357143,9.849330357,0.669642857,5.133928571,2.678571429,1.869419643,5.3,,35.84
서구,0.950987564,0,0,0.043160205,3.14557425,13.53328456,1.463057791,4.462326262,4.023408925,2.779809802,3.4,,13.67
연제구,1.821192053,0.165562914,0.248344371,0.041390728,13.24503311,61.83774834,3.642384106,12.91390728,8.609271523,5.960264901,5.4,,12.08
영도구,0.715307582,0.071530758,0,0.02074392,2.861230329,10.37195994,1.430615165,4.220314735,4.577968526,2.145922747,5.8,,13.98
중구,0,0.357142857,1.071428571,0.681726908,5.120481928,14.75903614,1.104417671,6.124497992,3.915662651,5.220883534,2.5,,9.96
수영구,2.263779528,0.196850394,0.295275591,0.077755906,12.20472441,63.97637795,4.724409449,14.27165354,8.562992126,6.496062992,4.7,,10.16
사하구,0.978234287,0.024455857,0.048911714,0.009537784,3.619466862,12.69258988,0.929322573,5.600391294,3.81511372,2.323306432,4.3,,40.89
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,0.19,307,1281,160,319,186,330,4.5,,
,,,,0.1,47,688,27,182,53,48,4.2,,
,,,,0.14,108,563,54,199,131,76,3.8,,
,,,,0.1,70,502,32,141,91,61,3.8,,
,,,,1.64,44,209,30,69,35,86,3.6,,
,,,,0.54,203,795,41,240,126,86,3.5,,
,,,,1.15,124,435,44,163,93,74,4.1,,
,,,,0.35,135,615,89,173,105,80,4.6,,
,,,,0.27,438,1059,97,318,181,167,5.2,,
,,,,0.25,88,353,24,184,96,67,5.3,,
,,,,0.59,43,185,20,61,55,38,3.4,,
,,,,0.5,160,747,44,156,104,72,5.4,,
,,,,0.29,40,145,20,59,64,30,5.8,,
,,,,6.79,51,147,11,61,39,52,2.5,,
,,,,0.79,124,650,48,145,87,66,4.7,,
,,,,0.39,148,519,38,229,156,95,4.3,,
