취업정보센터,금정구 취업정보센터,부산광역시 금정구 중앙대로 1777 (부곡동)
도서관,금샘도서관,부산 금정구 기찰로 94
도서관,금정도서관,부산 금정구 금정도서관로 33
도서관,부산광역시립서동도서관,부산 금정구 서부로76번길 5
도서관,금정북파크,부산 금정구 중앙대로 1610 대동빌딩 1층
도서관,금정온천천작은도서관,부산 금정구 장전온천천로 144
도서관,부곡4동작은도서관,부산 금정구 오시게로 39
도서관,책마을보드랑 작은도서관,부산 금정구 서동로 115-1
도서관,금샘마을도서관,부산 금정구 금강로 644-1 . 3층
도서관,우지작은도서관도서관,부산 금정구 구서로 15 4층
도서관,부곡1동작은도서관,부산 금정구 동부곡로6번길 29 4층
도서관,미리내작은도서관,부산 금정구 금강로347번길 32 미리내행복센터 1층
도서관,은빛 사랑채 작은도서관,부산 금정구 서동로60번길 13-22
도서관,머드레작은도서관,부산 금정구 범어천로52번길 25-3
도서관,구서꿈숲 작은도서관,부산 금정구 중앙대로1929번길 55
도서관,소정꿈나무작은도서관,부산 금정구 소정로 19
도서관,구서1동 작은도서관,부산 금정구 수림로72번길 123
도서관,글누리작은도서관,부산 금정구 금정로 135-1
도서관,금정도래오래 작은도서관,부산 금정구 회천로5번길 4 2
도서관,선두구동작은도서관,부산 금정구 두구죽전1길 13 선두구동 행정복지센터 1층 민원실
공유오피스,카페24창업센터 부산대점,부산 금정구 금강로 246
