연번,명칭,위치,
1,구청(1층 민원실),부산광역시 해운대구 중동2로 11,
2,문화복합센터1층,부산광역시 해운대구 센텀중앙로 170,
3,해운대기술교육원,부산광역시 해운대구 반여로 120,
4,반여무지개커뮤니티,"부산광역시 해운대구 재반로212번길 11, B1층",
5,동부고용복지+센터,부산광역시 수영구 수영로 676,(해운대구가 아닌데..?)
6,우1동 행정복지센터,부산광역시 해운대구 해운대로 612,
7,반송1동 행정복지센터,부산광역시 해운대구 아랫반송로 16,
9,재송2동 행정복지센터,부산광역시 해운대구 재송동 1046,
10,워크샾 공유오피스 부산중동,부산 해운대구 해운대해변로357번길 5-1 코스모시티 상가동 2층 205호,
11,스마트워크,"부산 해운대구 센텀서로 30 KNN타워 2602, 2603호",
12,카페24창업센터 해운대장산점,부산 해운대구 세실로 79 대교빌딩 9층,
13,코워크시티 부산마린시티점,부산 해운대구 세실로 79 대교빌딩 9층,
14,제이드림비즈니스센터,"부산 해운대구 센텀중앙로 97 A동 1606,1607호 B동 604호",
15,비하스,부산 해운대구 센텀북대로 60 1710호,
16,노마드워크 그린시티점,부산 해운대구 해운대로 794 엘리움 14층,
17,노마드워크 센텀시티점,부산 해운대구 센텀중앙로 48 에이스하이테크21 13층,
