이름,분류,주소
부산광역시강서도서관,도서관,부산광역시 강서구 공항로 811번길 10
강서기적의도서관,도서관,부산광역시 강서구 명지오션시티7로 30
국회부산도서관,도서관,부산광역시 강서구 명지국제1로 161
지사도서관,도서관,부산광역시 강서구 과학산단2로 20번길 5
르하임스터디카페명지오션시티점,스터디카페,부산광역시 강서구 명지오션시티11로 66
명지아름스터디카페,스터디카페,부산광역시 강서구 명지국제11로 27
하이클래스스터디카페,스터디카페,부산광역시 강서구 명지동 3239
어썸팩토리명지독서실,독서실,부산광역시 강서구 명지오션시티11로 66
로체스터디카페신호점,스터디카페,부산광역시 강서구 신호산단2로 27번길 3
르하임스터디카페부산명지국제신도시점,스터디카페,부산광역시 강서구 명지국제8로 254
화이트펜슬스터디카페명지오션시티,스터디카페,부산광역시 강서구 명지오션시티4로 61
로체스터디카페명지점,스터디카페,부산광역시 강서구 명지국제8로 260
멘토즈스터디카페명지국제점,스터디카페,부산광역시 강서구 명지국제8로 234
멘토즈스터디카페명지오션시티점,스터디카페,부산광역시 강서구 명지오션시티4로 65
멘토즈스터디카페녹산신호점,스터디카페,부산광역시 강서구 신호산단2로 33
아이온스터디카페,스터디카페,부산광역시 강서구 명지국제8로 254
지게이트스터디카페명지국제점,스터디카페,부산광역시 강서구 명지국제8로 264
더원스터디카페명지오션시티점,스터디카페,부산광역시 강서구 명지오션시티5로 12
공간샘스터디카페명지점,스터디카페,부산광역시 강서구 명지국제8로 286
비허밍스터디카페부산명지점,스터디카페,부산광역시 강서구 명지국제2로 27
그루스터디카페부산명지센터,스터디카페,부산광역시 강서구 명지오션시티12로 75
몽드스터디카페명지점,스터디카페,부산광역시 강서구 명지국제2로 29
타임유스터디카페명지점,스터디카페,부산광역시 강서구 명지국제8로 259
폴인스터디카페,스터디카페,부산광역시 강서구 신호산단1로 98번길 109
온스터디카페,스터디카페,부산광역시 강서구 명지국제5로 42
프리미엄도움명지독서실,독서실,부산광역시 강서구 명지국제8로 233
강서구취업정보센터,일자리센터,부산광역시 강서구 낙동북로 477
강서여성새로일하기센터,일자리센터,부산광역시 강서구 낙동북로 477
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
