시설이름,시설종류,주소
구덕도서관,도서관,부산 서구 대신공원로 41 부산광역시립구덕도서관
송도바다 작은도서관,도서관,부산 서구 충무대로 83
한새마을작은도서관,도서관,부산 서구 대신로 27 3층 한새마을작은도서관
꽃마을작은도서관,도서관,부산 서구 꽃마을로163번길 7
꽃마루어린이 작은도서관,도서관,부산 서구 꽃마을로 58 서대신4동주민센터
향기나는 작은도서관,도서관,부산 서구 구덕로280번길 32
짬짬이 작은도서관,도서관,부산 서구 구덕로295번길 4
어울림 작은도서관,도서관,부산 서구 해돋이로 59 3층
닥밭골작은도서관,도서관,부산 서구 보동길275번길 9
화이트펜슬스터디카페 부산대신점,스터디카페,"부산 서구 구덕로 299 6, 7층"
어라운드스터디카페 부산대병원점,스터디카페,부산 서구 구덕로186번길 5 금호빌딩 2층
셀독24스터디카페 서대신점,스터디카페,부산 서구 구덕로 337 5층
화이트펜슬스터디카페 부민점,스터디카페,"부산 서구 구덕로 207 4,5층"
멘토즈스터디카페 토성역점,스터디카페,부산 서구 구덕로 164 3~4층
셀독24스터디카페 동대신점,스터디카페,부산 서구 구덕로 323 3층
피닉스스터디카페 본점,스터디카페,부산 서구 구덕로 220 12층 피닉스스터디카페
엘리트21프리미엄스터디카페 동대신점,스터디카페,부산 서구 구덕로334번길 6 2층
시작스터디카페 동대신점,스터디카페,부산 서구 구덕로322번길 7 스타벅스 건물 3층
엘리트21프리미엄스터디카페 부산2호점,스터디카페,부산 서구 보수대로 242 2층
엘리트21프리미엄스터디카페 부산본점,스터디카페,부산 서구 대영로 41-1 2층
해빙 스터디카페,스터디카페,부산 서구 보수대로280번길 29 2층 해빙 스터디카페
토크앤워크,스터디카페,부산 서구 구덕로 214 3층
