연번,분류,이름,주소
1,스터디카페,부키머리에스터디카페 본점,부산 수영구 수영로 694 아성빌딩
2,스터디카페,화이트펜슬스터디카페 망미점,부산 수영구 연수로275번길 34 (망미동)
3,스터디카페,초심스터디카페 부산남천점,부산 수영구 남천동로 11-1 3층 (남천동)
4,스터디카페,어라운드스터디카페 광안점,부산 수영구 수영로 630 4층 (광안동)
5,스터디카페,멘토즈스터디카페 광안디오션점,부산 수영구 광안로 21 2층 (광안동)
6,스터디카페,화이트펜슬 스터디카페 수영민락점,부산 수영구 수영로 775 영화빌딩 3층 (수영동)
7,스터디카페,작심스터디카페 부산금련산역점,부산 수영구 수영로464번길 6 목원빌딩 4층 401호 (남천동)
8,스터디카페,아이덴스터디카페 광안역점,부산 수영구 수영로 577 14층 (광안동)
9,스터디카페,화이트펜슬스터디카페 광안점,부산 수영구 수영로 517 센터럴타워 4층 401호 (광안동)
10,스터디카페,어스24 스터디카페 수영민락점,부산 수영구 수영로741번길 5 대풍빌딩 6층 601호 (수영동)
11,스터디카페,두잇스터디카페 부산민락센터,부산 수영구 광안해변로 368 2층 (민락동)
12,스터디카페,화이트펜슬스터디카페 수영점,"부산 수영구 광일로 26 2,3층 (광안동)"
13,스터디카페,화이트펜슬스터디카페 민락수변공원점,부산 수영구 광안해변로358번길 6 호원빌딩 6층 (민락동)
14,스터디카페,더원스터디라운지,부산 수영구 광일로 40 2층 (광안동)
15,스터디카페,멘토즈스터디카페 부산남천점,부산 수영구 수영로408번길 36 2층 (남천동)
16,스터디카페,공부인스터디카페 부산남천센터,부산 수영구 수영로 384 수영빌딩 7층 (남천동)
17,스터디카페,화이트펜슬스터디카페 부산남천점,부산 수영구 남천동로10번길 31 2층 (남천동)
18,스터디카페,작심 스터디카페 부산수영민락점,부산 수영구 수영로 769 해승빌딩 5층 (수영동)
19,스터디카페,AM스터디카페 남천점,부산 수영구 남천동로108번길 12 3층 (남천동)
20,스터디카페,멘토즈 스터디카페 광안비치그린점,부산 수영구 광일로 49 (광안동)
21,스터디카페,수만휘스파르타 부산남천점,부산 수영구 수영로 412 4층 (남천동)
22,스터디카페,로체 스터디 카페 망미점,부산 수영구 망미로30번길 38 (망미동)
23,스터디카페,메가공무원스파르타 부산수영센터,부산 수영구 수영성로 2 4층 (수영동)
24,일자리센터,수영구 일자리종합센터,부산광역시 수영구 남천동로 100
25,일자리센터,부산 동부고용복지+센터,부산광역시 수영구 수영로 676
26,공유오피스,홈어라운드,부산 수영구 수영로 761
27,공유오피스,망미밸리,부산 수영구 수영로642번길 28
28,공유오피스,워크빌리지,부산 수영구 수영로 411 글로리메디컬센터
