연번,이름,분류,주소
1,연제도서관,도서관,부산광역시 연제구 황령산로 612
2,시립연산도서관,도서관,부산광역시 연제구 고분로191번길 16
3,배산작은도서관,도서관,부산광역시 연제구 배산북로 8
4,도서관앞에서,도서관,부산광역시 연제구 연산동 416-57
5,연제가족도서원,도서관,부산광역시 연제구 연산동 2018-27
6,연제인표어린이도서관,도서관,부산광역시 연제구 연산동 2015-9
7,밤골작은도서관,도서관,부산광역시 연제구 금련로24번길 33
8,해맞이작은도서관,도서관,부산광역시 연제구 해맞이로43번길 36
9,들락날락도서관,도서관,부산광역시 연제구 중앙대로 1001
10,꿈쟁이작은도서관,도서관,부산광역시 연제구 연산동 371-2
11,부산광역시교육연수원도서실,도서관,부산광역시 연제구 연산동 3-1
12,부산시청열린도서관,도서관,부산광역시 연제구 중앙대로 999
13,골든브릿지스터디카페배산점,스터디카페,부산광역시 연제구 연산제3동 금련로 2
14,스터디카페,스터디카페,부산광역시 연제구 연산동 1127-39
15,에스플랜스터디카페,스터디카페,부산광역시 연제구 거제동 아시아드대로 88
16,화이트펜슬스터디카페연산점,스터디카페,부산광역시 연제구 연수로 183
17,골든브릿지스터디카페토곡점,스터디카페,부산광역시 연제구 과정로 282-1
18,하우스터디스터디카페부산거제센터,스터디카페,부산광역시 연제구 거제제1동 거제천로 205
19,와이스터디카페,스터디카페,부산광역시 연제구 중앙대로1043번길 20
20,지니24스터디카페,스터디카페,부산광역시 연제구 거제동 1477-5
21,청담독서실&스터디카페연산토곡점,스터디카페,부산광역시 연제구 과정로 106
22,아이덴스터디카페부산시청점,스터디카페,부산광역시 연제구 중앙천로 94
23,멘토즈스터디카페연산토곡점,스터디카페,부산광역시 연제구 연산동 479-9
24,이루리스터디카페연산점,스터디카페,부산광역시 연제구 고분로13번길 81
25,플랜트스터디카페연산점,스터디카페,부산광역시 연제구 연산동 615-103
26,시너지플레이스스터디카페연산토곡점,스터디카페,부산광역시 연제구 연산동 117 71번지
27,타임유스터디카페사직점,스터디카페,부산광역시 연제구 아시아드대로 94
28,로체스터디카페연산점,스터디카페,부산광역시 연제구 연산동 719-18
29,골든브릿지스터디카페본점,스터디카페,부산광역시 연제구 연산동 821 6번지
30,골든브릿지스터디카페연산시청점,스터디카페,부산광역시 연제구 연산동 1331-4
31,아이작스터디카페,스터디카페,부산광역시 연제구 거제동 891-5
32,화이트펜슬스터디카페부산시청점,스터디카페,부산광역시 연제구 연산동 1369-9
33,골든브릿지스터디카페,스터디카페,부산광역시 연제구 거제동 89-11
34,시작스터디카페사직직영2호점,스터디카페,부산광역시 연제구 거제동 1476-5
35,연제구일자리종합정보센터,일자리센터,부산광역시 연제구 연제로 2
36,부산일자리종합센터,일자리센터,부산광역시 연제구 중앙대로 1001
37,연제청년창업나래센터,일자리센터,부산광역시 연제구법원남로9번길 17
38,드림워크,공유오피스,부산 연제구 연제로 30 시청비스타동원오피스텔동
39,연제구 사회적경제 공유오피스,공유오피스,부산 연제구 중앙대로1038번길 40 204동
40,비즈업 공유오피스,공유오피스,"부산광역시 연제구 월드컵대로 160 JH빌딩 5F, 6F"
41,연제구 일자리종합정보센터,일자리센터,"부산광역시 연제구 연제로 2 (연산동, 연제구청 1층)"
42,부산고용복지+센터,일자리센터,부산광역시 부산진구 중앙대로 993
